word,meaning,phonetic
a (an),一（个、件……）,ə, ən
abandon,抛弃，舍弃，放弃,əˈbændən
ability,能力；才能,əˈbɪləti
able,能够的，有能力的,ˈeɪbl
abnormal,反常的，变态的,æbˈnɔːml
aboard,在（船、飞机、火车等）上,əˈbɔːd
abolish,废除，废止,əˈbɒlɪʃ
abortion,人工流产，堕胎,əˈbɔːʃn
about,大约；关于；到处,əˈbaʊt
above,在……上面；高于,əˈbʌv
abroad,在国外，到国外,əˈbrɔːd
abrupt,突然的，粗鲁的,əˈbrʌpt
absence,缺席，不在,ˈæbsəns
absent,缺席的，不在的,ˈæbsənt
absolute,绝对的，完全的,ˈæbsəluːt
absorb,吸收，使全神贯注,əbˈzɔːb
abstract,抽象的；摘要,ˈæbstrækt
absurd,荒谬的，可笑的,əbˈsɜːd
abundant,大量的，丰富的,əˈbʌndənt
abuse,滥用，虐待，辱骂,əˈbjuːs
academic,学术的，学院的,ˌækəˈdemɪk
academy,学院，私立学校,əˈkædəmi
accelerate,加速，加快,əkˈseləreɪt
accent,口音，重音,ˈæksent
accept,接受,əkˈsept
access,通道，进入,ˈækses
accessible,可接近的，可使用的,əkˈsesəbl
accident,事故，意外事件,ˈæksɪdənt
accommodation,住宿，膳宿,əˌkɒməˈdeɪʃn
accompany,陪伴，伴随,əˈkʌmpəni
accomplish,完成，实现,əˈkʌmplɪʃ
according to,根据，依据,əˈkɔːdɪŋ tu
account,账户；描述,əˈkaʊnt
accountant,会计师,əˈkaʊntənt
accumulate,积累，聚集,əˈkjuːmjəleɪt
accuracy,准确，精确,ˈækjərəsi
accuse,指控，控告,əˈkjuːz
accustomed,习惯的，惯常的,əˈkʌstəmd
ache,疼痛，隐痛,eɪk
achieve,实现，达到,əˈtʃiːv
achievement,成就，功绩,əˈtʃiːvmənt
acid,酸，酸性的,ˈæsɪd
acknowledge,承认，确认,əkˈnɒlɪdʒ
acquaintance,熟人；了解,əˈkweɪntəns
acquire,获得，取得,əˈkwaɪə
acquisition,获得，习得,ˌækwɪˈzɪʃn
acre,英亩,ˈeɪkə
across,穿过，横过,əˈkrɒs
act,行为，行动，表演,ækt
action,行动，行为,ˈækʃn
active,积极的，主动的,ˈæktɪv
activity,活动,ækˈtɪvəti
actor,男演员,ˈæktə
actress,女演员,ˈæktrəs
actual,实际的,ˈæktʃuəl
acute,急性的，严重的，敏锐的,əˈkjuːt
ad,广告,æd
adapt,适应，改编,əˈdæpt
adaptation,适应，改编,ˌædæpˈteɪʃn
add,增加，添加,æd
addicted,上瘾的,əˈdɪktɪd
addition,添加物，增加,əˈdɪʃn
address,地址；演讲；处理,əˈdres
adequate,足够的，合适的,ˈædɪkwət
adjust,调整，调节，适应，习惯,əˈdʒʌst
adjustment,调整，调节,əˈdʒʌstmənt
administration,管理，行政部门,ədˌmɪnɪˈstreɪʃn
admirable,令人钦佩的，值得赞赏的,ˈædmərəbl
admire,钦佩，赞赏,ədˈmaɪə
admission,准许进入，入场费,ədˈmɪʃn
admit,承认，准许进入,ədˈmɪt
adolescence,青春期,ˌædəˈlesns
adolescent,青少年,ˌædəˈlesnt
adopt,收养，采纳,əˈdɒpt
adore,热爱，非常喜欢,əˈdɔː
adult,成年人,ˈædʌlt
advance,推进，促进；前进,ədˈvɑːns
advantage,优点，好处,ədˈvɑːntɪdʒ
adventure,冒险，奇遇,ədˈventʃə
advertise,登广告，宣传,ˈædvətaɪz
advertisement,广告,ədˈvɜːtɪsmənt
advice,建议，忠告,ədˈvaɪs
advise,建议，忠告,ədˈvaɪz
advocate,提倡，支持，主张,ˈædvəkeɪt
aeroplane,飞机,ˈeərəpleɪn
affair,事情，事件,əˈfeə
affect,影响,əˈfekt
affection,喜爱，钟爱,əˈfekʃn
afford,买得起，负担得起,əˈfɔːd
afraid,害怕的，担心的,əˈfreɪd
Africa,非洲,ˈæfrɪkə
African,非洲的，非洲人的,ˈæfrɪkən
after,在……之后；后来,ˈɑːftə
afternoon,下午,ˌɑːftəˈnuːn
afterwards,后来，随后,ˈɑːftəwədz
again,再次，又,əˈɡen
against,反对，倚靠,əˈɡeɪnst
age,年龄，时代,eɪdʒ
agency,机构，经销处,ˈeɪdʒənsi
agenda,议事日程，议程,əˈdʒendə
agent,代理人，代表,ˈeɪdʒənt
aggression,侵略，攻击,əˈɡreʃn
aggressive,好斗的，侵略性的,əˈɡresɪv
ago,以前,əˈɡəʊ
agree,同意，赞同,əˈɡriː
agreement,协议，一致,əˈɡriːmənt
agricultural,农业的,ˌæɡrɪˈkʌltʃərəl
agriculture,农业,ˈæɡrɪkʌltʃə
ahead,在前面，向前,əˈhed
aid,帮助，援助,eɪd
AIDS,艾滋病,eɪdz
aim,目标，瞄准,eɪm
air,空气，天空,eə
aircraft,飞行器（单复数同形）,ˈeəkrɑːft
airmail,航空邮件,ˈeəmeɪl
airplane,飞机,ˈeəpleɪn
airport,机场，航空站,ˈeəpɔːt
