word,meaning,phonetic
accommodation,住处,/əˌkɒm.əˈdeɪ.ʃən/
advocate,拥护,/ˈæd.və.keɪt/
analyze,分析,/ˈænəlaɪz/
approach,方法；接近,/əˈproʊtʃ/
assess,评估,/əˈses/
assume,假设；承担,/əˈsuːm/
authority,权威；当局,/əˈθɔːrəti/
available,可用的；可得到的,/əˈveɪləbəl/
concept,概念,/ˈkɒnsept/
consistent,一致的；始终如一的,/kənˈsɪstənt/
context,上下文；环境,/ˈkɒntekst/
contract,合同；收缩,/ˈkɒntrækt/
derive,源自；获得,/dɪˈraɪv/
environment,环境,/ɪnˈvaɪrənmənt/
establish,建立；确立,/ɪˈstæblɪʃ/
estimate,估计；估价,/ˈestɪmeɪt/
factor,因素,/ˈfæktər/
function,功能；作用,/ˈfʌŋkʃən/
identify,识别；确认,/aɪˈdentɪfaɪ/
indicate,表明；暗示,/ˈɪndɪkeɪt/
process,过程；处理,/ˈprəʊses/
require,要求；需要,/rɪˈkwaɪər/
research,研究,/rɪˈsɜːrtʃ/
respond,回应；响应,/rɪˈspɒnd/
role,角色；作用,/rəʊl/
sector,行业；部门,/ˈsektər/
significant,重要的；显著的,/sɪɡˈnɪfɪkənt/
source,来源；根源,/sɔːrs/
specific,特定的；具体的,/spəˈsɪfɪk/
theory,理论,/ˈθiːəri/
vary,变化；不同,/ˈveəri/
variable,可变的；变量,/ˈveəriəbl/
