word,meaning,phonetic
abandon,遗弃；离开；放弃；终止；陷入；放任；狂热,əˈbændən
ability,能力；才能,əˈbɪləti
able,能；有能力的；(Able)人名,(英)阿布尔;ˈeɪbl
abnormal,反常的；不规则的；变态的,æbˈnɔːml
aboard,在（飞机、火车、船）上；骑在（马上）；(喻)就个人状况而言；在桌上;əˈbɔːd
about,附近，大约，结构，左右，周围；在附近，关于；在…之后，周围，于,əˈbaʊt
above,上面的，上述的；在上；在上面；在…上方；超过,əˈbʌv
abroad,在国外；到国外；广泛地；在户外；四散地,əˈbrɔːd
absence,缺席；缺乏；缺少；不在场,ˈæbsəns
absent,缺席的；缺少的；心不在焉的；茫然的；使缺席,ˈæbsənt
absolute,绝对的；纯粹的；完全的；无限的；专制的,ˈæbsəluːt
absolutely,绝对地；完全地,ˈæbsəluːtli
absorb,吸收；吸引；理解；使专心致志,əbˈzɔːb
abstract,抽象的；摘要；抽象派艺术作品；摘录；提取；使抽象化,ˈæbstrækt
abundant,丰富的，充裕的，大量的,əˈbʌndənt
abuse,滥用，辱骂，虐待；恶习;əˈbjuːs
academic,学术的；大学的；学院的,ˌækəˈdemɪk
academy,专科学校，学院，学会,əˈkædəmi
accelerate,加速；促进；加快,əkˈseləreɪt
acceleration,加速，加速度；促进,əkˌseləˈreɪʃn
accent,重音；强调；口音,ˈæksent
accept,接受；承认；承担；承兑,əkˈsept
acceptable,可接受的；合意的；可忍受的,əkˈseptəbl
acceptance,接受；承认；认可；容纳；欢迎；同意；承兑,əkˈseptəns
access,通道，进入，访问，存取,ˈækses
accessory,配件，附件，附属品,əkˈsesəri
accident,事故，意外事件，灾难,ˈæksɪdənt
accidental,偶然的，附带的；临时的；非本质的,ˌæksɪˈdentl
accommodate,容纳，使适应；供应；调和，适应；调整,əˈkɒmədeɪt
accommodation,住宿，住处；调解；预订铺位,əˌkɒməˈdeɪʃn
accompany,陪同，陪伴；伴奏；伴唱；伴侣,əˈkʌmpəni
accomplish,完成；实现；达到,əˈkɒmplɪʃ
accord,符合；一致；协议；给予；使一致；使协调,əˈkɔːd
accordance,一致；符合；协调,əˈkɔːdns
accordingly,因此，所以；相应地,əˈkɔːdɪŋli
account,账户，解释，账目，账单；理由；描述；解释；认为；算作；说明；估算,əˈkaʊnt
accumulate,积累，堆积，聚集,əˈkjuːmjəleɪt
accuracy,精确性，准确性,ˈækjərəsi
accurate,精确的，准确的,ˈækjərət
accuse,控告，指控，谴责；归咎于,əˈkjuːz
accustom,使习惯于，使适应,əˈkʌstəm
accustomed,习惯的；通常的；独有的,əˈkʌstəmd
ache,疼痛；觉察疼痛；渴望,eɪk
achieve,取得；获得；实现；成功；达到预期的目的，达成目标,əˈtʃiːv
achievement,成就；完成；达到；成绩,əˈtʃiːvmənt
acid,酸；酸性的，刻薄的,ˈæsɪd
acquaintance,熟人；相识；了解；知识,əˈkweɪntəns
acquire,获得；取得；学到,əˈkwaɪə
acre,土地；英亩,ˈeɪkə
across,横过；交叉地；在对面；越过；在…对面；对面,əˈkrɒs
act,行动；行为；法令；演出；假装；行动；起作用,ækt
action,行动；活动；功能；战斗；情节,ˈækʃn
active,积极的；活跃的；主动的；有效的；现行的,ˈæktɪv
activity,活动；活跃,ækˈtɪvəti
actor,演员；男演员,ˈæktə
actress,女演员,ˈæktrəs
actual,实际的；真实的；现行的；目前的,ˈæktʃuəl
actually,实际上；事实上,ˈæktʃuəli
acute,剧烈的；敏锐的；严重的,əˈkjuːt
ad,广告（advertisement的缩写）,æd
adapt,改编；使适应；适合,əˈdæpt
add,增加；加起来；做加法；附加；添加,æd
addition,加；附加；加法；增加物,əˈdɪʃn
additional,附加的；额外的,əˈdɪʃənl
address,地址；致辞；演讲；说话的技巧；写姓名地址；致辞；演说；写信；从事于,əˈdres,ˈædres
adequate,充足的；适当的；胜任的,ˈædɪkwət
adjective,形容词的；从属的；形容词,ˈædʒɪktɪv
adjust,调整；使…适合；校准；调节；整顿；适应,əˈdʒʌst
administration,管理；行政；实施；行政机关,ədˌmɪnɪˈstreɪʃn
admire,钦佩；赞美；欣赏；称赞,ədˈmaɪə
admission,入场费；进入许可；准入,ədˈmɪʃn
admit,承认；准许进入；可容纳；承认；容许,ədˈmɪt
adopt,采用；接受；收养；正式通过；采纳,əˈdɒpt
adult,成年人；成年的；成熟的,ˈædʌlt,ˈædlt
advance,发展；前进；增长；预付；推进；预付；将…提前；前进；将…提升,ədˈvɑːns
advanced,先进的；高级的；晚期的；年老的；前进；上涨,ədˈvɑːnst
advantage,优势；利益；有利条件；有利于；使处于优势,ədˈvɑːntɪdʒ
adventure,冒险；冒险精神；投机活动,ədˈventʃə
adverb,副词,ˈædvɜːb
advertisement,广告,ədˈvɜːtɪsmənt
advice,建议；忠告,ədˈvaɪs
advisable,明智的；可取的；适当的,ədˈvaɪzəbl
advise,建议；忠告；劝告；通知,ədˈvaɪz
aero,航空的，飞行的，飞机的,ˈeərəʊ
aeroplane,飞机,ˈeərəpleɪn
affair,事件；事情；私人事务（尤指关系不太好的人）风流韵事,əˈfeə
affect,影响；感动；感染；假装；倾向；喜欢；情感；引起感情的反应,əˈfekt
affection,喜爱；感情；影响；感染,əˈfekʃn
afford,买得起；给予；提供,əˈfɔːrd
afraid,害怕的；恐惧的；担心的,əˈfreɪd
